2025-12-08 15:29:28.789 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_dataset:196 - Starting fuzzing for dataset: ../experiments/RQ4/respfuzzer_seeds.json
2025-12-08 15:29:28.790 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:calc_initial_seed_coverage_dataset:148 - Calculating initial seed coverage for the dataset....
2025-12-08 15:29:49.185 | WARNING  | respfuzzer.lib.fuzz.fuzz_dataset:calc_initial_seed_coverage_dataset:168 - Seed 3749 execution timeout, restarting worker process.
2025-12-08 15:29:52.432 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:29:52.476 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:calc_initial_seed_coverage_dataset:184 - Initial coverage after executing all seeds: 81495 bits.
2025-12-08 15:29:57.271 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:_fuzz_dataset:122 - Starting parallel fuzzing with 50 workers for 200 seeds
2025-12-08 15:29:57.277 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1531: numpy.ma.allequal
2025-12-08 15:29:57.279 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1530: numpy.ma.allclose
2025-12-08 15:29:57.327 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1531 coverage before execution: 81495
2025-12-08 15:29:57.328 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1531 of seed 1531: numpy.ma.allequal
2025-12-08 15:29:57.333 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1211: numpy.strings.endswith
2025-12-08 15:29:57.392 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1278: numpy._core.multiarray.get_handler_version
2025-12-08 15:29:57.393 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1205: numpy.printoptions
2025-12-08 15:29:57.419 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1530 coverage before execution: 81495
2025-12-08 15:29:57.455 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1530 of seed 1530: numpy.ma.allclose
2025-12-08 15:29:57.462 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1495: numpy.ma.extras.clump_masked
2025-12-08 15:29:57.487 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1009: numpy.polynomial.polynomial.polymulx
2025-12-08 15:29:57.487 | DEBUG    | respfuzzer.lib.fuzz.instrument:instrument_function_via_path_feedback:143 - Instrumented numpy.ma.allequal for fuzz
2025-12-08 15:29:57.487 | INFO     | respfuzzer.lib.fuzz.fuzz_function:fuzz_function_feedback:192 - RespFuzzer start feedback fuzz numpy.ma.core.allequal
2025-12-08 15:29:57.496 | INFO     | respfuzzer.lib.fuzz.fuzz_function:fuzz_function_feedback:204 - RespFuzzer feedback fuzz numpy.ma.core.allequal done
2025-12-08 15:29:57.496 | DEBUG    | respfuzzer.lib.fuzz.instrument:instrument_function_via_path_feedback:147 - Restored original function for numpy.ma.allequal
2025-12-08 15:29:57.511 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1212: numpy.strings.startswith
2025-12-08 15:29:57.512 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:297 - [4400]Finished fuzzing mutant 1531 of seed 1531: coverage 81495 -> 81496
2025-12-08 15:29:57.580 | DEBUG    | respfuzzer.lib.fuzz.instrument:instrument_function_via_path_feedback:143 - Instrumented numpy.ma.allclose for fuzz
2025-12-08 15:29:57.581 | INFO     | respfuzzer.lib.fuzz.fuzz_function:fuzz_function_feedback:192 - RespFuzzer start feedback fuzz numpy.ma.core.allclose
2025-12-08 15:29:57.587 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1205 coverage before execution: 81495
2025-12-08 15:29:57.588 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:29:57.588 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1205 of seed 1205: numpy.printoptions
2025-12-08 15:29:57.583 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1211 coverage before execution: 81495
2025-12-08 15:29:57.596 | INFO     | respfuzzer.lib.fuzz.fuzz_function:fuzz_function_feedback:204 - RespFuzzer feedback fuzz numpy.ma.core.allclose done
2025-12-08 15:29:57.596 | DEBUG    | respfuzzer.lib.fuzz.instrument:instrument_function_via_path_feedback:147 - Restored original function for numpy.ma.allclose
2025-12-08 15:29:57.589 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1211 of seed 1211: numpy.strings.endswith
2025-12-08 15:29:57.602 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1278 coverage before execution: 81495
2025-12-08 15:29:57.603 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4400 to parent bitmap, final coverage: 81496 bits.
2025-12-08 15:29:57.604 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:297 - [4399]Finished fuzzing mutant 1530 of seed 1530: coverage 81495 -> 81496
2025-12-08 15:29:57.604 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1278 of seed 1278: numpy._core.multiarray.get_handler_version
2025-12-08 15:29:57.611 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:29:57.607 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1495 coverage before execution: 81495
2025-12-08 15:29:57.613 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1495 of seed 1495: numpy.ma.extras.clump_masked
2025-12-08 15:29:57.617 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1009 coverage before execution: 81495
2025-12-08 15:29:57.642 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1173: numpy.char.find
2025-12-08 15:29:57.642 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4399 to parent bitmap, final coverage: 81496 bits.
2025-12-08 15:29:57.648 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1009 of seed 1009: numpy.polynomial.polynomial.polymulx
2025-12-08 15:29:57.671 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1212 coverage before execution: 81495
2025-12-08 15:29:57.681 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1212 of seed 1212: numpy.strings.startswith
